date,open,high,low,close,volume
2025-02-21,268.32,269.195,262.84,264.24,12835570
2025-02-24,265.49,267,258.61,261.34,10372750
2025-02-25,262.23,263,253.35,257.4,9608439
2025-02-26,257.16,260.911,256.93,258.79,5943585
2025-02-27,260.18,263.64,257.86,259.05,8204447
2025-02-28,260.73,264.81,257.89,264.65,10467130
2025-03-03,264,266.32,257.82,260.62,9058307
2025-03-04,255.28,257.23,245.95,250.25,13465630
2025-03-05,251.25,253.05,247.83,251.53,7861424
2025-03-06,248.11,249.36,243.85,246.54,9983235
2025-03-07,245.23,246.72,239.42,242.28,20498730
2025-03-10,236.21,237.51,228.695,232.22,18887190
2025-03-11,231.745,233.32,226.69,229.14,18143000
2025-03-12,234,234.32,227.26,227.9,16054020
2025-03-13,229.3,229.5,224.23,225.19,16467850
2025-03-14,228.12,233.143,227.58,232.44,11962110
2025-03-17,231.18,235.669,230.455,233.93,9586025
2025-03-18,234.32,236.17,233.52,234.97,10344870
2025-03-19,235.74,242.33,234.89,239.11,10120590
2025-03-20,236.56,241.76,236.2,239.01,8328513
2025-03-21,237.81,242.3,236.5,241.63,19326870
2025-03-24,245.48,248.69,244.41,248.06,9422650
2025-03-25,249.31,251.82,247.625,251.13,9287694
2025-03-26,252.6,254.67,249.78,251.03,12785230
2025-03-27,249.525,250.64,247.18,248.12,8022517
2025-03-28,246.94,249.505,241.11,242.85,11978420
2025-03-31,239.41,245.86,237.364,245.3,13603000
2025-04-01,242.62,245.69,240.882,243.66,8054683
2025-04-02,241.6,247.245,241.46,245.82,7758750
2025-04-03,234.27,235.14,227.3,228.69,17188470
2025-04-04,215.305,217.7,208.93,210.28,27170690
2025-04-07,205.77,222.053,202.16,214.44,22914370
2025-04-08,223.52,227.838,213.25,216.87,19485730
2025-04-09,212.5,237.48,211,234.34,24022350
2025-04-10,230,230.35,220.1,227.11,18896440
2025-04-11,226.31,238.575,225,236.2,20284450
2025-04-14,237.1,239.78,233.63,234.72,13017820
2025-04-15,236.1,238.65,232.82,233.13,10912880
2025-04-16,232,233.58,227.93,229.61,9322325
2025-04-17,230.8,234.34,230.55,231.96,9557946
2025-04-21,230.63,231.81,226.336,228.99,8716177
2025-04-22,231.98,235.99,231.37,235.59,10701400
2025-04-23,240.22,246.79,240,240.88,14126770
2025-04-24,239.74,245.47,237.58,244.64,9055197
2025-04-25,244.65,245.62,241.75,243.55,8588564
2025-04-28,244.56,246.844,240.84,243.22,7394297
2025-04-29,242.19,245.25,241.69,244.62,7216788
2025-04-30,241.21,245.22,238.43,244.62,12991700
2025-05-01,242.84,248.45,242.17,246.89,8689579
2025-05-02,251.26,253.619,249.463,252.51,7165044
2025-05-05,251.18,255.16,250.59,252.56,5450744
2025-05-06,250,252.65,249,249.25,6369934
2025-05-07,249.85,252.45,248.83,249.39,8724267
2025-05-08,251.57,255.88,251.55,253.47,8320118
2025-05-09,254.5,255.51,252.34,253.08,5087639
2025-05-12,262.9,263.6,258.7,260.05,9603892
2025-05-13,261.03,263.67,260.39,263.01,8588961
2025-05-14,263,266.64,262.29,265.64,8643060
2025-05-15,266.97,269.52,264.76,267.49,9214641
2025-05-16,267.5,268.459,264.71,267.56,8932912
2025-05-19,265.55,268.32,261.93,264.88,12145050
2025-05-20,262.52,266.66,262.3,265.68,8436337
2025-05-21,264.35,265.65,260.726,261.04,7464045
2025-05-22,259.44,262.3,258.869,260.67,6514113
2025-05-23,256.81,261.99,256,260.71,6671841
2025-05-27,262.04,265.3,261.99,265.29,7506555
2025-05-28,266.24,266.72,262.9,263.49,5535408
2025-05-29,264.8,265.41,262.53,264.37,5081992
2025-05-30,263.45,265.33,262.725,264,10977660
2025-06-02,263.02,265.03,261.9,264.66,6011165
2025-06-03,263.73,266.58,262.88,266.27,6998383
2025-06-04,265.92,267.12,264.18,264.22,5915710
2025-06-05,264.74,264.74,260.31,261.95,8179258
2025-06-06,264.33,266.65,264.26,265.73,7738134
2025-06-09,266,267.9,263.35,266.74,8285364
2025-06-10,265.88,268.9,265.85,268.6,7538135
2025-06-11,268.68,269.62,265.786,268.15,7434064
2025-06-12,266.86,268.29,265.14,268.24,6618026
2025-06-13,265.08,267.02,262.71,264.95,7098265
2025-06-16,267,271.73,266.85,270.36,8566019
2025-06-17,268.17,270.59,267.8,269.52,6739262
2025-06-18,270,277.72,269.72,273.96,9586440
2025-06-20,275.57,277.3,273.812,275,13969670
2025-06-23,275.06,278.55,272.113,278.27,8094559
2025-06-24,280.21,282.715,279.51,281.26,9267941
2025-06-25,281.5,284.28,280.91,284.06,6826901
2025-06-26,284.7,289.41,284.47,288.75,8942062
2025-06-27,285.81,288.696,285.04,287.11,17868630
2025-06-30,290.4,292.65,288.92,289.91,12689160
2025-07-01,290.89,291.13,286.59,290.41,9338260
2025-07-02,292.04,292.822,289.7,292,8158692
2025-07-03,292.15,296.4,291.21,296,6541646
2025-07-07,295.25,296.04,290.08,291.97,8825732
2025-07-08,289.275,289.7,280.31,282.78,15440860
2025-07-09,287.18,287.195,282.48,283.16,11273800
2025-07-10,283,288.31,283,288.19,8413847
2025-07-11,285.52,287.38,283.655,286.86,7384674
2025-07-14,287.07,289.3,285.256,288.7,9079941
2025-07-15,288,291.95,285.48,286.55,12526110
2025-07-16,288.4,290.73,283.01,285.82,9979768
2025-07-17,283.44,290.296,283.44,289.9,8509504
2025-07-18,289.52,292.5,288.23,291.27,12217020
2025-07-21,291,294.18,290.58,290.97,7898141
2025-07-22,291.5,293.625,289.18,291.43,6717461
2025-07-23,292.84,296.99,292.55,296.76,7083510
2025-07-24,297.42,299.59,296.2,296.55,7001242
2025-07-25,296.7,298.9,295.955,298.62,5918875
2025-07-28,297.66,299.43,296.82,298.28,5840417
2025-07-29,300,301.293,296.2,297.04,7635719
2025-07-30,297.42,300.61,297.38,299.63,8061742
2025-07-31,299.14,300.975,295.5,296.24,14749650
2025-08-01,290.4,291.795,284.238,289.37,12007110
2025-08-04,290.26,294.32,290.26,294.26,6649542
2025-08-05,294.69,295.785,287.24,291.37,7182333
2025-08-06,292.3,293.29,290.16,291.35,6330155
2025-08-07,292.94,293.46,286.41,286.94,8057109
2025-08-08,288.98,291.23,284.706,288.76,6634506
2025-08-11,289.4,291.32,288.78,289.56,5510113
2025-08-12,291.5,294.75,290.34,292.85,8572034
2025-08-13,293.95,294.55,287.16,290.53,8420407
2025-08-14,290.58,294.2,289.639,294.16,6322381
2025-08-15,294.84,295.5,289.82,290.49,7340518
2025-08-18,290,291.9,288.41,291.53,5386856
2025-08-19,290.83,292.48,289.53,290.66,6031520
2025-08-20,290.81,293.33,287.27,292.24,7374244
2025-08-21,291.94,292.766,289.473,291.47,6624161
2025-08-22,293.2,297.16,290.13,296.24,8552847
2025-08-25,296.24,297.348,294.14,294.9,5856258
2025-08-26,294.16,298.74,293.5,298.57,6714749
2025-08-27,297.25,301.07,297.04,299.28,6056513
2025-08-28,300.025,301.24,298.7,301.07,6410535
2025-08-29,302.04,302.95,299.73,301.42,6796380
2025-09-02,300.26,300.455,294.5,299.7,7221855
2025-09-03,300.57,300.57,296.38,299.51,6316911
2025-09-04,300,304.43,298.28,303.82,6605797
2025-09-05,303.65,305.15,294.31,294.38,9837709
2025-09-08,294.89,296.46,291.44,292.91,8188506
2025-09-09,292.6,299,292.31,297.85,7848196
2025-09-10,296.7,301.54,295.4,300.54,7787303
2025-09-11,301.24,305.73,300.793,305.56,7942489
2025-09-12,305,307.55,303.695,306.91,6846674
2025-09-15,307.17,309.95,307.17,308.9,7122015
2025-09-16,310,310.9,307.135,309.19,10525590
2025-09-17,310.39,312.91,308.772,311.75,8657765
2025-09-18,311.79,313.44,309.61,313.23,8050671
2025-09-19,313.6,315.8,309.12,314.78,23568550
2025-09-22,309.8,313.7,309.555,312.44,7520190
2025-09-23,311.815,316.314,310.58,312.74,8584420
2025-09-24,314.05,316.577,311.665,313.42,7310513
2025-09-25,314.12,315.65,311.8,313.45,7083198
2025-09-26,314.9,317.81,313.704,316.06,7258136
2025-09-29,317.06,318.01,313.66,315.69,6462442
2025-09-30,316.25,317.41,310.11,315.43,11823320
2025-10-01,313.97,314.59,307.41,310.71,9235211
2025-10-02,310,310.56,306.14,307.55,7599973
2025-10-03,308.51,311.66,308.21,310.03,6029854
2025-10-06,310.18,311.747,305.13,309.18,7214502
2025-10-07,309.35,310.01,304.7,307.69,8454217
2025-10-08,308.21,308.783,303.55,304.03,6489883
2025-10-09,305.05,308.035,303.395,305.53,7060332
2025-10-10,305.66,310.47,300.81,300.89,8597384
2025-10-13,305.6,309.46,305.45,307.97,10788680
2025-10-14,305.84,307,294.21,302.08,16178760
2025-10-15,306.39,312.12,305.44,305.69,11354780
2025-10-16,305.35,308.68,297.07,298.54,10549450
2025-10-17,299.16,299.55,294.2,297.56,10153450
2025-10-20,298.5,303.69,298.16,302.36,6894943
2025-10-21,301.66,304.05,297,297.09,7372671
2025-10-22,297.77,298.06,290.545,294.11,8054115
2025-10-23,294.38,296.37,292.51,294.54,5438810
2025-10-24,296.08,302.6,295.45,300.44,7228330
2025-10-27,302.16,304.53,301.01,304.15,5642222
2025-10-28,304.86,307.967,303.16,305.36,6335993
2025-10-29,303.51,308.245,303.01,305.51,7520324
2025-10-30,305.79,312.61,305.1,309.44,7514556
2025-10-31,308.54,312.87,307.25,311.12,7721297
2025-11-03,311,312.32,306.21,309.35,7770040
2025-11-04,306.71,312.22,305.1,309.25,7085164
2025-11-05,309.61,313.1,305.63,311.68,6865198
2025-11-06,310.99,314.84,310.26,313.42,7206111
2025-11-07,311.89,314.43,307.642,314.21,7302347
2025-11-10,315,319.555,314.21,316.89,5794505
2025-11-11,317.5,319.05,315.28,315.62,5030216
2025-11-12,316.26,322.25,316.21,320.41,10578270
2025-11-13,319.23,320.632,309.1,309.48,8973258
2025-11-14,307.51,307.64,301.23,303.61,10326980
2025-11-17,304,305.59,297.671,300.37,8344046
2025-11-18,299.5,302.945,297.02,299.41,8077315
2025-11-19,299.74,304.45,299.265,303.27,5546555
2025-11-20,306.34,309.92,298.16,298.38,7501582
2025-11-21,301.29,301.68,292.81,298.02,11766810
2025-11-24,298.24,299.82,294.51,298,10940190
2025-11-25,300.05,304.5,295.56,303,8877188
2025-11-26,305,308.525,303.2,307.64,7910851
2025-11-28,309.1,313.72,308.24,313.08,4322448
2025-12-01,312.95,314.04,308.54,308.92,7727324
2025-12-02,308.74,310.48,307.09,307.88,7249043
2025-12-03,307.2,312.36,306.8,312.13,8535260
2025-12-04,313.26,318.49,313,316.1,9627834
2025-12-05,315.64,318.48,314.68,315.04,6518908
2025-12-08,315.06,316.47,313.35,315.21,7417191
2025-12-09,314.95,318.8,300.02,300.51,18049220
2025-12-10,300.5,311.19,298.46,310.11,18874090
2025-12-11,309.24,318,309.24,317.38,9721859
2025-12-12,319.68,320.27,316.601,318.52,8982911
2025-12-15,319.59,322.88,318.39,320.02,10864120
2025-12-16,319.09,319.52,314.4,315.55,8331336
2025-12-17,318.43,319.37,314.66,314.98,8718653
2025-12-18,316,317.7,312.22,313,11444910
2025-12-19,313.79,318.56,313.19,317.21,24494410
2025-12-22,317.51,323.23,317.51,323.09,8354588
2025-12-23,323.61,327.78,323.09,325.93,6668305
2025-12-24,326.24,329.99,325.501,329.17,4289306
2025-12-26,329.11,330.86,326.54,327.91,4158293
2025-12-29,327,327.77,323.53,323.75,8635338
2025-12-30,324.81,324.94,322.49,323.42,7904263
2025-12-31,324.34,324.875,322.04,322.22,5048531
2026-01-02,322.5,325.73,320.74,325.48,8054040
2026-01-05,325.5,337.25,325.19,334.04,10752630
2026-01-06,332.62,335.87,330.65,334.61,7660787
2026-01-07,331.14,332.15,324.6,326.99,9815240
2026-01-08,326.39,331.4,325.65,329.79,11737070
2026-01-09,329.34,331.9,328.17,329.19,6738143
2026-01-12,321.884,326.02,321.23,324.49,12805060
2026-01-13,324.3,326.86,310.572,310.9,19371170
2026-01-14,308.2,311.76,306.12,307.87,25951460
2026-01-15,308.47,312.94,307.75,309.26,14751450
2026-01-16,310.35,317.21,310,312.47,14652510
2026-01-20,306.21,311.15,301.86,302.74,12900620
2026-01-21,303.425,305.4,301.15,302.04,10270140
2026-01-22,304.86,308.2,302.9,303.63,10535820
2026-01-23,302,302.37,296.51,297.72,11107930
2026-01-26,297.81,301.775,297.45,301.04,11752670
2026-01-27,301.33,301.97,298.15,300.31,11527450
2026-01-28,300.27,301.92,298.05,300.77,9556743
2026-01-29,302.4,306.83,302.215,306.42,11579990
2026-01-30,305.25,307.93,302.555,305.89,11953180
2026-02-02,304.46,309.3,301.37,308.14,9839360
2026-02-03,309.73,316.25,309.095,314.85,12687960
2026-02-04,314.405,319.305,314.405,317.27,9848802
2026-02-05,315,316.01,305.54,310.16,9387999
2026-02-06,314.71,324.245,314.71,322.4,17797440
2026-02-09,321.34,326.4,320.115,322.1,11477470
2026-02-10,322.55,326.125,315.12,318.28,9902224
2026-02-11,323.24,325.28,308.73,310.82,8703519
2026-02-12,312.275,313.615,300.02,302.64,13443360
2026-02-13,298.52,304.29,296.52,302.55,9114526
2026-02-17,302.76,308.24,302.5,307.13,8896753
2026-02-18,308.46,312.28,307.22,308.78,7209556
2026-02-19,307.17,309.18,305.12,308.05,6737705
2026-02-20,308.4,311,305.68,310.79,7792735
2026-02-23,308.8,311,295.1,297.67,12955430
2026-02-24,296.82,299.75,291.38,297.3,13554130
2026-02-25,298.64,303.66,297.01,303.3,8095520
