date,open,high,low,close,volume
2024-05-24,275.01,275.24,273.35,274.49,4339967
2024-05-28,274.23,274.462,270.23,270.98,6212455
2024-05-29,269,271.14,268.26,268.86,5469713
2024-05-30,268.7,271.64,268.31,271.3,4903071
2024-05-31,271.44,272.76,269.01,272.46,8909985
2024-06-03,273.09,273.13,268.06,270.38,4838782
2024-06-04,269.63,272.99,269.31,272.42,4188515
2024-06-05,273.53,274.93,272.02,274.5,5368674
2024-06-06,274.8,277.15,274.08,277.04,4862378
2024-06-07,277.71,280.335,276.86,278.67,4515795
2024-06-10,278.14,278.56,273.38,275.04,5214002
2024-06-11,274.54,274.86,272.22,274.67,6244586
2024-06-12,276.77,277.6,269.9,270.32,7536636
2024-06-13,270.32,271.855,269.316,271.19,7361158
2024-06-14,270.1,271.55,269.27,270.66,8537260
2024-06-17,269,271.83,269,271.17,9258209
2024-06-18,271.3,273.9,271.3,273.62,6707460
2024-06-20,273.19,278.04,273.1,276.82,10164360
2024-06-21,277.17,277.54,274.58,275.22,14790150
2024-06-24,275.32,280.39,275.27,276.3,24149630
2024-06-25,276.85,277.929,273.53,273.53,19897650
2024-06-26,272.91,274.46,271.75,273.6,12171990
2024-06-27,268.51,270.59,266.5,266.59,10529080
2024-06-28,267.2,268.6,261.25,262.47,13957270
2024-07-01,263.79,265.77,261.3,263.24,7955766
2024-07-02,263.24,268.23,262.4,268.23,8697811
2024-07-03,269.07,269.75,268.15,268.99,5017760
2024-07-05,269,270.545,268.24,270.36,7986435
2024-07-08,270.25,271.44,265.97,266.4,8561140
2024-07-09,267,267.55,263.92,265.44,6432808
2024-07-10,259.12,263.48,258.51,263,9635466
2024-07-11,262.13,263.63,260.76,262.55,8805194
2024-07-12,264.34,267.395,263.66,265.74,6627767
2024-07-15,265.67,269.24,265.25,268.45,6845211
2024-07-16,268.52,270.21,267.37,269.25,7869921
2024-07-17,268.44,272.91,268.24,272.7,5324662
2024-07-18,272.29,273.62,268.555,269.15,5550804
2024-07-19,270.32,270.95,264.31,265.46,6839933
2024-07-22,267.23,268.4,265.02,267.71,5313610
2024-07-23,267.53,267.7,263.86,264.79,8109209
2024-07-24,256.07,257.2,253.13,254.17,13065890
2024-07-25,255.39,258.22,252.7,253.74,8573282
2024-07-26,255.59,261.2,255.59,259.46,7062213
2024-07-29,260.32,262.705,258.58,261.6,6068109
2024-07-30,263.23,264.3,261.01,263.1,5941775
2024-07-31,264.54,266.36,264.25,265.67,7642547
2024-08-01,266.33,267,264.18,265.93,7269671
2024-08-02,263.83,267.96,262.88,266.58,7017857
2024-08-05,261.45,262.92,254.51,256.44,9631322
2024-08-06,256.5,260.49,255.77,258.26,21586820
2024-08-07,259.66,262.03,256.31,256.52,12908580
2024-08-08,258.13,260.445,257.92,259.83,8223667
2024-08-09,259.17,261.52,259.01,259.76,7228127
2024-08-12,260.5,261.6,259.24,259.89,26769520
2024-08-13,260.13,261.68,259.27,260.13,12005750
2024-08-14,260.87,261.5,258.74,261.14,8552272
2024-08-15,262.84,267.39,262.84,266.8,7397780
