date,open,high,low,close,volume
2024-05-24,326.39,327.54,324.42,325.1,2736871
2024-05-28,325.39,330.99,324.48,328.7,3807491
2024-05-29,326.53,326.79,323.77,325.91,3506227
2024-05-30,326.26,330.22,325.705,329.18,2922152
2024-05-31,330.05,335.17,328.01,334.87,5557767
2024-06-03,333.65,333.65,326.837,328.01,3712785
2024-06-04,326.87,329.79,325.1,328.26,4296831
2024-06-05,328.5,330.46,325.92,330.26,2422380
2024-06-06,329.8,331.84,328.06,331.1,2979372
2024-06-07,325.73,328.816,323.93,327.03,2583813
2024-06-10,327,332.8,326.5,332.56,2691369
2024-06-11,333,336.31,330.32,335.72,3250889
2024-06-12,347.03,350.49,343.06,344.14,4793021
2024-06-13,345.9,348.69,343.07,347.88,3380799
2024-06-14,344.81,347.495,341.69,346.84,2588960
2024-06-17,344.89,350.694,344.4,349.5,2680442
2024-06-18,352.95,356.411,352.115,353.87,3654970
2024-06-20,352,354.921,349.59,353.44,3661185
2024-06-21,354.84,356.25,352.05,355.8,6596539
2024-06-24,356.9,357.685,350.72,350.88,4278905
2024-06-25,346.31,346.99,334.534,338.32,4980465
2024-06-26,339.46,342.59,337.53,341.82,3365303
2024-06-27,342.83,344.76,338.45,341.49,2912566
2024-06-28,341.35,345.28,340.71,344.24,6344192
2024-07-01,343.92,344.645,335.39,336.19,2643576
2024-07-02,335,336.83,332.53,334.97,2995943
2024-07-03,337,339.639,333.54,333.64,1732991
2024-07-05,332.71,335.92,331.64,334.58,3437489
2024-07-08,335.88,340.76,335,339.6,3534519
2024-07-09,338.95,339.26,335.57,337.09,2255131
2024-07-10,338.64,344.29,337.62,344.18,3263135
2024-07-11,350.78,354.13,345,353.79,4147603
2024-07-12,355,363.95,354.09,359.77,4019875
2024-07-15,359.14,361.18,355.03,358.46,2884198
2024-07-16,360.06,369.415,359.5,369.12,3210362
2024-07-17,366.64,375.19,365.42,371.89,3991105
2024-07-18,369.9,375.74,365.775,366.08,2394996
2024-07-19,366.43,367.6,361.945,363.36,2474497
2024-07-22,364.5,367.28,361.08,363.25,4049300
2024-07-23,365.43,365.43,359.38,359.62,2535667
2024-07-24,358.93,361.454,350,350.31,3508062
2024-07-25,350.2,358.833,349.33,353.29,3297550
2024-07-26,355.01,361.67,355.01,359.51,2439246
2024-07-29,359.21,362.89,358.945,361.67,2142243
2024-07-30,362.82,364.685,359.26,363.69,2788755
2024-07-31,365,372.49,363.043,368.16,3526126
2024-08-01,369.99,371.48,353.75,358.58,3759024
2024-08-02,354.93,355.57,346.74,355.43,3764790
2024-08-05,350.88,353.94,345.24,350.01,3828080
2024-08-06,348.75,358.66,347.28,353.91,2831088
2024-08-07,355.18,356.27,342.28,342.4,3429059
2024-08-08,342.24,348.74,341.34,348.34,3591145
2024-08-09,347.89,351.53,345.395,348.64,2314771
2024-08-12,350.77,351.5,342.13,345.81,3830237
2024-08-13,341.87,353.39,339.37,350.07,6388596
2024-08-14,349.55,359.69,349.4,355.66,4814780
2024-08-15,362.46,365.41,358.14,360.07,3575809
2024-08-16,359.97,363.7,359.97,362.06,3308320
2024-08-19,362.5,364.69,362.1,363.07,3634851
2024-08-20,360.65,367.64,360.5,367.27,3459401
2024-08-21,369.45,372.87,368.522,370.46,4587568
2024-08-22,371.5,372.46,364.61,365.36,4097321
2024-08-23,366.66,376.32,365.19,375.59,3426154
2024-08-26,377.08,378.582,373.37,374.11,2452134
2024-08-27,373.49,374.28,371,373.18,1780282
2024-08-28,373,375.41,370.2,372.69,2218430
2024-08-29,372.61,373.316,366.93,367.06,2698518
2024-08-30,369.24,370.41,364.877,368.5,3216660
2024-09-03,367.9,369.38,362.9,364.74,3598082
2024-09-04,364.17,365.93,360.012,364.67,3221318
2024-09-05,364.9,365.15,357.58,361.85,2789359
2024-09-06,362.92,365.44,359.42,360.05,2228832
2024-09-09,362.76,366.16,360.03,365.52,2747588
2024-09-10,365.7,371.56,362.48,370.87,2787401
2024-09-11,369.55,371.21,362.14,370.49,2937689
2024-09-12,371.94,374.99,370.56,374.43,2368302
2024-09-13,375.56,382,375.51,379.99,2514699
2024-09-16,382,384,379.53,382.01,2877932
2024-09-17,383.43,387.94,381.68,383.24,2947574
2024-09-18,384.09,392.67,381.07,384.01,3549367
2024-09-19,390.84,391.87,387.01,390.34,3753549
2024-09-20,388.33,391.83,387,389.86,6584408
2024-09-23,390.83,392.65,387.26,391.96,2502469
2024-09-24,394.7,401.11,393.63,400.66,4057692
2024-09-25,400.66,400.66,395.62,396.93,2787489
2024-09-26,399.5,400,395.49,396.7,2849536
2024-09-27,399.65,403.544,398.31,399.53,2452254
2024-09-30,400.2,405.31,399.02,405.2,3444362
2024-10-01,404.02,410.56,401.41,409.05,3476191
2024-10-02,407.7,411.46,404.96,411.26,3431264
2024-10-03,409,412.97,406.8,411.58,3320682
2024-10-04,410.07,411.82,399.45,408.36,3989606
2024-10-07,404.89,409.81,401.24,408.06,3267812
2024-10-08,409.8,415.29,408.44,414.18,3693887
2024-10-09,420,420.03,410.75,416.07,3627800
2024-10-10,409.72,414.48,407.63,409.96,3040794
2024-10-11,410.56,413.14,408.84,411.9,2717431
2024-10-14,411.48,416.42,411.304,415.42,2088681
2024-10-15,417.95,421.56,415.02,415.58,3693034
2024-10-16,413.87,418.74,413.87,418.61,2429037
2024-10-17,418.61,419,414.561,415.6,2013819
2024-10-18,416.65,416.66,413.24,415,2436725
2024-10-21,416.07,416.555,404.371,406.4,3699527
2024-10-22,398.5,402.95,396.21,401.85,4486654
2024-10-23,400.56,404.28,396.69,399.64,3159207
2024-10-24,402.29,404.2,398.088,402.68,2550281
2024-10-25,403.52,403.52,397.83,398.91,1941426
2024-10-28,403.45,405.84,401.95,402.89,2586529
2024-10-29,393.94,399.105,389.05,395.07,3822679
2024-10-30,395,397.69,391.94,392.52,2795609
2024-10-31,390.5,395.67,390.5,393.75,2518637
2024-11-01,394.8,398.71,392.01,392.59,3277974
2024-11-04,391.95,400.48,391.07,395.57,2690877
2024-11-05,394.97,400.23,393.86,400.09,2496489
2024-11-06,394.04,394.04,381.72,388.37,7133367
2024-11-07,391,399.76,390.8,399.44,4323070
2024-11-08,404,406.4,402.3,405.9,3448699
2024-11-11,407.77,411.6,405.825,408.29,4071533
2024-11-12,414.25,416.02,402.19,403.08,5647107
2024-11-13,409.13,412.74,406.72,410.19,3083105
2024-11-14,408,411.5,404.39,405.72,3348056
2024-11-15,402.9,408.91,402.9,408.18,3239545
2024-11-18,405.5,412.54,403.95,410.44,3394375
2024-11-19,408.38,409.16,399.36,406.8,3239356
2024-11-20,406,406.7,399.92,400,4732195
2024-11-21,401.33,411.39,400.38,410.45,3722586
2024-11-22,412.09,420.14,410.95,420,4932501
2024-11-25,425,430.25,424.46,428.67,4544233
2024-11-26,428.6,439.37,424.695,429.52,2758597
2024-11-27,428.6,430.1,425.96,427.19,2293453
2024-11-29,428.56,431,427.54,429.13,2028714
2024-12-02,429,430.4,423.155,426.96,2617198
2024-12-03,429.73,430.68,423.32,429.35,2713985
2024-12-04,426.41,428.83,425.5,427.92,1969019
2024-12-05,426.6,429.759,425.88,426.54,2523528
2024-12-06,428.7,435.75,427.01,431.37,3161705
2024-12-09,432.35,436.36,428.03,429.18,3425988
2024-12-10,426.9,427.31,421.41,422.59,3354873
2024-12-11,425.23,428,421.26,421.38,4211198
2024-12-12,421.43,422.75,413.18,414.42,3673612
2024-12-13,415.77,418.14,414.18,416.98,2649853
2024-12-16,417.85,418.48,410.69,410.71,2879619
2024-12-17,410,410.4,406.23,408.47,3726820
2024-12-18,407,410.71,393.38,393.82,4225524
2024-12-19,394.74,395.14,384.89,385.02,4576147
2024-12-20,383.37,393.287,383.05,392.6,8046363
2024-12-23,391.1,393.24,387.03,392.45,2434007
2024-12-24,392.13,396.14,390.5,396.14,1392629
2024-12-26,392.52,395.78,391.62,395.14,1321218
2024-12-27,392.14,395.47,391.37,392.86,1942681
2024-12-30,390.53,391.21,385.68,389.43,2444858
2024-12-31,390.01,391.46,387.3,388.99,2179671
2025-01-02,392.13,392.67,386.38,388.46,2418343
2025-01-03,389.82,391.01,385.81,389.18,2232389
2025-01-06,390.5,393.99,388.03,389.37,3274669
2025-01-07,390.9,391.9,383.1,384.23,2274312
2025-01-08,383,387.69,380.1,387.2,2848462
2025-01-10,388.91,392.91,384.615,389.89,5323431
2025-01-13,389.99,395.86,387.7,389.18,3512936
2025-01-14,390.59,394.2,389.63,392.78,3405174
2025-01-15,406.65,408,401.76,406.09,4584769
2025-01-16,406.27,410.105,403.916,409.33,2305938
2025-01-17,413.49,414.45,408.53,409.38,3228960
2025-01-21,413,420.22,413,418.43,3568089
2025-01-22,417.55,417.55,409.33,410.1,3581351
2025-01-23,411.57,414.69,408.75,414.39,3840275
2025-01-24,414.09,415.01,410.755,414.5,2370116
2025-01-27,414.9,426.186,414,424.87,3699202
2025-01-28,423.24,423.24,416.7,418.83,2818648
2025-01-29,420.22,421.37,411.79,413.42,2385201
2025-01-30,416.41,417.324,411.519,414.5,3081304
2025-01-31,413.17,416.38,410.32,411.98,2761798
2025-02-03,406.12,411.9,401.01,408.76,2896444
2025-02-04,409.51,412.58,406.085,411.49,2150773
2025-02-05,415.15,415.15,408.14,413.82,2212115
2025-02-06,414.91,417.79,413,414.16,2023667
2025-02-07,413.2,414.29,406.5,407.37,2530505
2025-02-10,410.64,414.95,408.79,413.99,2617582
2025-02-11,414,416.57,412.74,416.36,1442188
2025-02-12,408.58,409.65,402.12,407.14,3387401
2025-02-13,408.71,412.98,407.49,412.43,3067859
2025-02-14,415,418,408.555,409.5,3004396
2025-02-18,408.31,408.87,400.22,403.31,3994025
2025-02-19,397.22,398.64,392.935,395.43,3780014
2025-02-20,393,394.76,391.1,394.64,2703526
2025-02-21,396.4,397.815,383.9,385.3,5286976
2025-02-24,386.09,386.55,378.2,382.42,5722039
2025-02-25,385,401.01,384.19,393.29,6823898
2025-02-26,395.24,398.87,388.56,390.48,3871549
2025-02-27,389.91,395.47,388.325,390.27,2825142
2025-02-28,394.42,396.87,390.282,396.6,4263916
2025-03-03,396.95,397.07,386.47,389.69,3397551
2025-03-04,386.15,387.96,378.9,381.68,4384823
2025-03-05,379,387.12,378.01,386.35,2780317
2025-03-06,383.5,387.76,380.73,381.73,4221975
2025-03-07,379.5,380.65,368.9,376.8,4574277
2025-03-10,377.44,383.12,372.61,374.65,3710542
2025-03-11,374.22,374.93,365.728,368.16,4013320
2025-03-12,371.97,372,361.75,364.73,3368038
2025-03-13,361.91,362,345.26,347.25,7062396
2025-03-14,350.65,351.39,345.42,351.31,5510696
2025-03-17,351.76,355.55,350.96,354.13,3681459
2025-03-18,353.53,353.89,347.59,349.57,3008238
2025-03-19,352,354.426,348.985,353.42,2990191
2025-03-20,354.69,361.767,352.2,355.52,3391223
2025-03-21,352.09,353.39,346.275,351.15,8205413
2025-03-24,354.62,364.43,354.28,363.77,4023527
2025-03-25,361.53,363.65,358.54,360.99,2799657
2025-03-26,360.39,364.73,360.12,362.13,3141372
2025-03-27,361.9,365.21,361.15,362.73,3036580
2025-03-28,363.16,363.2,356.17,358.15,2980206
2025-03-31,353.495,368.74,352.65,366.49,4498842
2025-04-01,364.14,367.29,361.92,365.52,2801979
2025-04-02,362.56,372.31,362.26,370.89,3189508
2025-04-03,355.78,360.04,351.715,355.91,5407124
