date,open,high,low,close,volume
2024-05-24,181.65,182.435,180.3,180.75,27471640
2024-05-28,179.93,182.24,179.49,182.15,29926960
2024-05-29,181.7,184.08,181.55,182.02,32009290
2024-05-30,181.31,181.34,178.355,179.32,29249230
2024-05-31,178.3,179.21,173.87,176.44,58903940
2024-06-03,177.7,178.7,175.92,178.34,30786640
2024-06-04,177.64,179.82,176.44,179.34,27198390
2024-06-05,180.1,181.5,178.75,181.28,32116390
2024-06-06,181.745,185,181.49,185,31371150
2024-06-07,184.9,186.289,183.36,184.3,28021470
2024-06-10,184.07,187.23,183.79,187.06,34494500
2024-06-11,187.06,187.77,184.537,187.23,27265110
2024-06-12,188.015,188.35,185.43,186.89,33984220
2024-06-13,186.09,187.67,182.666,183.83,39721550
2024-06-14,183.08,183.72,182.23,183.66,25456410
2024-06-17,182.52,185,181.22,184.06,35601910
2024-06-18,183.735,184.29,181.43,182.81,36659160
2024-06-20,182.91,186.51,182.72,186.1,44726780
2024-06-21,187.8,189.275,185.86,189.08,72931750
2024-06-24,189.33,191,185.33,185.57,50610380
2024-06-25,186.81,188.84,185.42,186.34,45898480
2024-06-26,186.92,194.8,186.26,193.61,65103890
2024-06-27,195.005,199.84,194.2,197.85,74397490
2024-06-28,197.73,198.85,192.5,193.25,76930190
2024-07-01,193.49,198.296,192.82,197.2,41192010
2024-07-02,197.28,200.43,195.93,200,45600010
2024-07-03,199.94,200.029,196.76,197.59,31597930
2024-07-05,198.65,200.55,198.17,200,39858890
2024-07-08,200.04,201.2,197.96,199.29,34767260
2024-07-09,199.4,200.57,199.045,199.34,32756740
2024-07-10,199.995,200.11,197.69,199.79,32883750
2024-07-11,200.09,200.27,192.86,195.05,44565040
2024-07-12,194.8,196.47,193.83,194.49,30598530
2024-07-15,194.56,196.19,190.83,192.72,40683230
2024-07-16,195.59,196.62,192.24,193.02,33994710
2024-07-17,191.35,191.58,185.99,187.93,48076140
2024-07-18,189.59,189.68,181.448,183.75,51043630
2024-07-19,181.14,184.93,180.11,183.13,43081830
2024-07-22,185,185.06,182.48,182.55,39931920
2024-07-23,184.1,189.39,183.56,186.41,47537670
2024-07-24,183.2,185.45,180.41,180.83,41532360
2024-07-25,182.91,183.896,176.8,179.85,44464160
2024-07-26,180.39,183.19,180.24,182.5,29505960
2024-07-29,183.84,184.75,182.38,183.2,33270120
2024-07-30,184.72,185.86,179.38,181.71,39508570
2024-07-31,185.05,187.94,184.46,186.98,41667330
2024-08-01,189.285,190.6,181.87,184.07,70435640
2024-08-02,166.75,168.77,160.55,167.9,141448400
2024-08-05,154.21,162.96,151.61,161.02,83149440
2024-08-06,161.71,165.08,158.54,161.93,59950830
2024-08-07,166.55,167.58,161.43,162.77,48408240
2024-08-08,165.165,166.69,162.55,165.8,44616210
2024-08-09,166.4,168.55,165.85,166.94,36401050
2024-08-12,168.14,168.55,166.11,166.8,30072790
2024-08-13,167.81,171.04,167.1,170.23,39237920
2024-08-14,172.11,172.28,168.86,170.1,28843800
2024-08-15,174.86,177.91,173.99,177.59,51698510
2024-08-16,177.04,178.34,176.26,177.06,31489180
2024-08-19,177.64,178.3,176.16,178.22,31129810
2024-08-20,177.92,179.01,177.431,178.88,26255200
2024-08-21,179.92,182.385,178.894,180.11,35599120
2024-08-22,181.38,181.47,175.68,176.13,32047480
2024-08-23,177.34,178.97,175.24,177.04,29150090
2024-08-26,176.7,177.468,174.3,175.5,22366240
2024-08-27,174.15,174.89,172.25,173.12,29841980
2024-08-28,173.69,173.69,168.92,170.8,29045030
2024-08-29,173.22,174.29,170.81,172.12,26407820
2024-08-30,172.78,178.9,172.6,178.5,43429360
2024-09-03,177.55,178.26,175.26,176.25,37817510
2024-09-04,174.48,175.98,172.54,173.33,30309230
2024-09-05,175,179.875,174.995,177.89,40170530
2024-09-06,177.24,178.38,171.16,171.39,41466540
2024-09-09,174.53,175.85,173.51,175.4,29037360
2024-09-10,177.49,180.5,176.79,179.55,36233800
2024-09-11,180.095,184.99,175.73,184.52,42564700
2024-09-12,184.8,187.41,183.54,187,33622480
2024-09-13,187,188.5,185.91,186.49,26495350
2024-09-16,185.29,185.81,183.36,184.89,26065490
2024-09-17,186.85,189.45,186.14,186.88,26091680
2024-09-18,186.45,188.8,185.06,186.43,34448130
2024-09-19,190.04,190.99,188.47,189.87,39543170
2024-09-20,190.23,191.84,187.41,191.6,100378600
2024-09-23,191.64,194.45,190.57,193.88,36993110
2024-09-24,194.27,195.37,190.13,193.96,43478930
2024-09-25,193.75,193.95,192.16,192.53,26391140
2024-09-26,194.31,194.53,189.54,191.16,36334850
2024-09-27,190.68,190.9,187.34,187.97,36002320
2024-09-30,187.14,188.49,184.65,186.33,41680400
2024-10-01,184.9,186.19,183.452,185.13,36044910
2024-10-02,184.44,186.6,184.04,184.76,23704060
2024-10-03,183.045,183.44,180.875,181.96,30204300
2024-10-04,185.75,187.6,183.6,186.51,41079010
2024-10-07,182.95,183.6,180.25,180.8,42364200
2024-10-08,181.915,183.09,180.92,182.72,26372090
2024-10-09,182.82,185.845,182.05,185.17,26343120
2024-10-10,187.13,188.134,185.83,186.65,27785040
2024-10-11,186.63,189.928,186.3,188.82,25751560
2024-10-14,189.78,189.83,187.36,187.54,22614410
2024-10-15,187.63,188.41,184.58,187.69,32178930
2024-10-16,187.05,187.78,185.61,186.89,23456810
2024-10-17,188.22,188.94,186,187.53,25039410
2024-10-18,187.15,190.74,186.28,188.99,37417670
2024-10-21,188.05,189.46,186.4,189.07,24639390
2024-10-22,188.35,191.52,186.975,189.7,29650590
2024-10-23,188.85,189.16,183.69,184.71,31937090
2024-10-24,185.25,187.11,183.86,186.38,21647400
2024-10-25,187.85,190.45,187.53,187.83,29362060
2024-10-28,189.565,190.21,188.21,188.39,27930840
2024-10-29,188.58,191.46,187.815,190.83,35690160
2024-10-30,194.695,195.61,192.42,192.73,37707550
2024-10-31,190.51,190.6,185.23,186.4,75146760
2024-11-01,199,200.5,197.02,197.93,99687850
2024-11-04,196.45,197.33,194.31,195.78,38492060
2024-11-05,196.04,199.82,195.99,199.5,30564780
